ANN10, ANN20, ANN30, ANN50
0.006700, 0.035282, 0.097800, 0.175515
0.030089, 0.056984, 0.098525, 0.170505
0.004071, 0.044227, 0.077567, 0.202427
0.003538, 0.030042, 0.062384, 0.192127
0.031615, 0.029189, 0.069209, 0.184396
0.004438, 0.058635, 0.084965, 0.188546
0.010158, 0.052312, 0.107214, 0.188954
0.004184, 0.059217, 0.061655, 0.169354
0.060728, 0.043649, 0.040606, 0.160580
0.051715, 0.028665, 0.023474, 0.182707
0.022698, 0.040322, 0.054433, 0.178391
0.016053, 0.058572, 0.071506, 0.160242
0.049044, 0.048930, 0.055722, 0.161510
0.056101, 0.043015, 0.076558, 0.178919
0.009097, 0.048944, 0.083754, 0.175931
0.032709, 0.064636, 0.062565, 0.177670
0.031170, 0.059458, 0.089514, 0.195819
0.009491, 0.039275, 0.044205, 0.224482
0.022997, 0.050615, 0.035877, 0.163346
