#5GEN1, 5GEN2, 5GEN5, 5GEN10
0.000557, 0.000328, 0.001730, 0.004290
0.001593, 0.003859, 0.002827, 0.006372
0.001888, 0.001454, 0.001717, 0.003687
0.001333, 0.002381, 0.002337, 0.004255
0.000566, 0.001389, 0.002369, 0.005122
0.000599, 0.005899, 0.001697, 0.006941
0.000877, 0.002526, 0.002164, 0.004600
0.000721, 0.000526, 0.002727, 0.005680
0.000949, 0.007047, 0.002892, 0.008596
0.001940, 0.000976, 0.001912, 0.004541
0.000613, 0.003373, 0.001636, 0.006775
0.001457, 0.000865, 0.001462, 0.003811
0.000856, 0.003154, 0.001442, 0.013143
0.000323, 0.000983, 0.001610, 0.005460
0.000828, 0.009724, 0.001583, 0.006926
0.000525, 0.000875, 0.001443, 0.004234
0.002089, 0.000438, 0.001559, 0.006839
0.001367, 0.003210, 0.002593, 0.006060
0.000438, 0.000380, 0.001493, 0.008279
0.000844, 0.001738, 0.002376, 0.004965
0.001339, 0.000522, 0.001384, 0.004805
0.001002, 0.000626, 0.001638, 0.006915
0.000986, 0.000533, 0.001327, 0.005994
0.000768, 0.000696, 0.001571, 0.006557
0.001111, 0.001112, 0.001704, 0.005747
0.001034, 0.001682, 0.001899, 0.008122
0.000701, 0.000626, 0.002519, 0.005074
0.000986, 0.000792, 0.001320, 0.005297
0.000991, 0.000678, 0.001430, 0.005239
0.000968, 0.000922, 0.001414, 0.008552
0.000705, 0.000524, 0.002011, 0.007947
0.000968, 0.000926, 0.001740, 0.007341
0.001052, 0.000696, 0.000880, 0.006075
0.000819, 0.000754, 0.001584, 0.007345
0.001436, 0.000560, 0.001397, 0.005817
0.000676, 0.000760, 0.001302, 0.005718
0.001261, 0.000509, 0.000855, 0.006325
0.000716, 0.000706, 0.001874, 0.007601
0.000865, 0.000799, 0.000872, 0.009726
0.001039, 0.004667, 0.001044, 0.006188
0.003615, 0.001900, 0.002399, 0.004112
0.000866, 0.004518, 0.004792, 0.003770
0.001604, 0.001614, 0.004543, 0.004146
0.002806, 0.000970, 0.004144, 0.003004
0.003055, 0.002176, 0.004760, 0.005990
0.001951, 0.002260, 0.001486, 0.003880
0.000460, 0.002779, 0.001547, 0.003905
0.002937, 0.003189, 0.003676, 0.003580
0.001214, 0.001157, 0.003459, 0.003712
0.003433, 0.000856, 0.003890, 0.005236
0.005185, 0.000817, 0.004731, 0.001109
0.000935, 0.001973, 0.001716, 0.003564
0.002913, 0.000620, 0.003313, 0.005900
0.002463, 0.001506, 0.003869, 0.003188
0.002949, 0.001142, 0.002939, 0.005784
0.003488, 0.001803, 0.001836, 0.004893
0.011099, 0.001494, 0.003951, 0.004428
0.003638, 0.001876, 0.003239, 0.003334
0.002245, 0.001767, 0.001913, 0.004335
0.002564, 0.001425, 0.004157, 0.003310
