##2GEN, 5GENS1, 5GENS2, 5GENS3
0.003212, 0.001762, 0.001334, 0.000697
0.000409, 0.000498, 0.002281, 0.001907
0.015434, 0.001981, 0.000849, 0.000470
0.003620, 0.003725, 0.001775, 0.000420
0.007228, 0.001817, 0.007192, 0.000653
0.013145, 0.001565, 0.002420, 0.001015
0.039956, 0.001893, 0.001912, 0.000982
0.016843, 0.001773, 0.001274, 0.000926
0.011367, 0.000785, 0.002789, 0.000803
0.000819, 0.001219, 0.002849, 0.000653
0.067133, 0.000418, 0.001632, 0.000767
0.005033, 0.000494, 0.001177, 0.000334
0.074977, 0.001688, 0.000958, 0.000764
0.030239, 0.000952, 0.000820, 0.001268
0.001419, 0.003667, 0.000944, 0.000349
0.068553, 0.001363, 0.000947, 0.000665
0.001500, 0.002170, 0.011907, 0.000493
0.000174, 0.003628, 0.001387, 0.000880
0.032405, 0.000515, 0.000951, 0.000538
0.002824, 0.000995, 0.001009, 0.001076
